13,Csb,Climat tempéré chaud avec été sec.,Mediterranean warm/cool summer climates,Les températures moyennes des 3 mois les plus froids sont comprises entre 0 °C et 18 °CLa température moyenne du mois le plus chaud est supérieure à 10 °C.Les saisons été et hiver sont bien définies.La saison sèche est en été.Les précipitations du mois estival le plus sec sont inférieures à 40 mm et inférieures à 1/3 du mois hivernal le plus humide.La température moyenne du mois le plus chaud est inférieure ou égale à 22 °CLes températures moyennes des 4 mois les plus chauds sont supérieures à 10 °C.,The average temperatures of the 3 coldest months are between 0 ° C and 18 ° CThe average temperature of the hottest month is above 10 ° C.The summer and winter seasons are well defined.The dry season is in summer.Rainfall in the driest summer month is less than 40 mm and less than 1/3 of the wettest winter month.The average temperature of the hottest month is 22 ° C or lessThe average temperatures of the 4 hottest months are above 10 ° C.
14,Csc,Climat tempéré chaud avec été sec court et frais.,Mediterranean cold summer climates,Les températures moyennes des 3 mois les plus froids  sont comprises entre 0 °C et 18 °C.La température moyenne du mois le plus chaud est supérieure à 10 °CLes saisons été et hiver sont bien définies.La saison sèche est en été.Les précipitations du mois estival le plus sec sont inférieures à 40 mm et inférieures à 1/3 du mois hivernal le plus humide.La température moyenne du mois le plus chaud est inférieur 22 °C.Les températures moyennes mensuelles sont supérieures à 10 °C pour moins de 4 mois.La température moyenne du mois le plus froid est supérieure à -38 °C.,The average temperatures of the 3 coldest months are between 0 ° C and 18 ° C.The average temperature of the hottest month is above 10 ° CThe summer and winter seasons are well defined.The dry season is in summer.Rainfall in the driest summer month is less than 40 mm and less than 1/3 of the wettest winter month.The average temperature of the hottest month is below 22 ° C.Average monthly temperatures are above 10 ° C for less than 4 months.The average temperature of the coldest month is above -38 ° C.
15,Cwa,Climat tempéré chaud à hiver sec  et été chaud,Dry-winter humid subtropical climate,La saison sèche est en hiver.Les précipitations du mois hivernal le plus sec sont inférieures à 1/10 du mois le plus humide.Les températures moyennes des 3 mois les plus froids sont comprises entre 0 °C et 18 °C.La température moyenne du mois le plus chaud est supérieure à 10 °C.Les saisons été et hiver sont bien définies.La température moyenne du mois le plus chaud est supérieure à 22 °C.,The dry season is in winter.Precipitation in the driest winter month is less than 1/10 of the wettest month.The average temperatures of the 3 coldest months are between 0 ° C and 18 ° C.The average temperature of the hottest month is above 10 ° C.The summer and winter seasons are well defined.The average temperature of the hottest month is above 22 ° C. 
16,Cwb,Climat tempéré chaud à hiver sec et été tempéré.,Dry-winter subtropical highland climate,La saison sèche est en hiver.Les précipitations du mois hivernal le plus sec sont inférieures à 1/10 du mois le plus humide.Les températures moyennes des 3 mois les plus froids  sont comprises entre 0 °C et 18 °C.La température moyenne du mois le plus chaud est supérieure à 10 °C.Les saisons été et hiver sont bien définies.La température moyenne du mois le plus chaud est inférieure ou égale à 22 °C.Les températures moyennes des 4 mois les plus chauds  sont supérieures à 10 °C.,The dry season is in winter.Precipitation in the driest winter month is less than 1/10 of the wettest month.The average temperatures of the 3 coldest months are between 0 ° C and 18 ° C.The average temperature of the hottest month is above 10 ° C.The summer and winter seasons are well defined.The average temperature of the hottest month is 22 ° C or less.The average temperatures of the 4 hottest months are above 10 ° C.
17,Cwc,Climat tempéré chaud à hiver sec et été court et frais.,Dry-winter subpolar oceanic climate,La saison sèche est en hiver.Les précipitations du mois hivernal le plus sec sont inférieures à 1/10 du mois le plus humide.Les températures moyennes des 3 mois les plus froids sont comprises entre 0 °C et 18 °C.La température moyenne du mois le plus chaud est supérieure à 10 °CLes saisons été et hiver sont bien définies.La température moyenne du mois le plus chaud est inférieure à 22 °C.Les températures moyennes mensuelles sont supérieures à 10 °C pour moins de 4 mois.La température moyenne du mois le plus froid est supérieure à -38 °C.,The dry season is in winter.Precipitation in the driest winter month is less than 1/10 of the wettest month.The average temperatures of the 3 coldest months are between 0 ° C and 18 ° C.The average temperature of the hottest month is above 10 ° CThe summer and winter seasons are well defined.The average temperature of the hottest month is below 22 ° C.Average monthly temperatures are above 10 ° C for less than 4 months.The average temperature of the coldest month is above -38 ° C.
18,Dfa,Climat continental froid, sans saison sèche et à été chaud.,Cold continental climate, no dry season and hot summer.,La température moyenne du mois le plus froid est inférieure à 0 °C.La température moyenne du mois le plus chaud est supérieure à 10 °C.Les saisons été et hiver sont bien définies.Le climat est humide.Les précipitations sont régulières, tous les mois de l'année.Il n’y a pas de saison sèche.La température moyenne du mois le plus chaud est supérieure à 22 °C.,The average temperature of the coldest month is below 0 ° C.The average temperature of the hottest month is above 10 ° C.The summer and winter seasons are well defined.The climate is humid.Rainfall is regular, every month of the year.There is no dry season.The average temperature of the hottest month is above 22 ° C.19,Dfb,Climat continental froid, sans saison sèche et à été tempéré.,Cold continental climate, without dry season and temperate summer.,La température moyenne du mois le plus froid est inférieure à 0 °C.La température moyenne du mois le plus chaud est supérieure à 10 °C.Les saisons été et hiver sont bien définies.Le climat est humide.Les précipitations sont régulières, tous les mois de l'année.Il n’y a pas de saison sèche.La température moyenne du mois le plus chaud est inférieure ou égale à 22 °C.Les températures moyennes des 4 mois les plus chauds sont supérieures à 10 °C.,The average temperature of the coldest month is below 0 ° C.The average temperature of the hottest month is above 10 ° C.The summer and winter seasons are well defined.The climate is humid.Rainfall is regular, every month of the year.There is no dry season.The average temperature of the hottest month is 22 ° C or less.The average temperatures of the 4 hottest months are above 10 ° C.
20,Dfc,Climat continental froid, sans saison sèche à été court et frais.,Cold continental climate, no dry season, short and cool summer.,La température moyenne du mois le plus froid est inférieure à 0 °C.La température moyenne du mois le plus chaud est supérieure à 10 °C.Les saisons été et hiver sont bien définies.Le climat est humide.Les précipitations sont régulières, tous les mois de l'année.Il n’y a pas de saison sèche.La température moyenne du mois le plus chaud est inférieure à 22 °C.Les températures moyennes mensuelles sont supérieures à 10 °C pour moins de 4 mois.La température moyenne du mois le plus froid est supérieure à -38 °C.,The average temperature of the coldest month is below 0 ° C.The average temperature of the hottest month is above 10 ° C.The summer and winter seasons are well defined.The climate is humid.Rainfall is regular, every month of the year.There is no dry season.The average temperature of the hottest month is below 22 ° C.Average monthly temperatures are above 10 ° C for less than 4 months.The average temperature of the coldest month is above -38 ° C.
21,Dfd,Climat continental froid, sans saison sèche et à hiver très froid.,Cold continental climate, without a dry season and very cold winter.,La température moyenne du mois le plus froid est inférieure à 0 °C.La température moyenne du mois le plus chaud est supérieure à 10 °C.Les saisons été et hiver sont bien définies.Le climat est humide.Les précipitations sont régulières, tous les mois de l'année.Il n’y a pas de saison sèche.La température moyenne du mois le plus froid est inférieure à -38 °C.,The average temperature of the coldest month is below 0 ° C.The average temperature of the hottest month is above 10 ° C.The summer and winter seasons are well defined.The climate is humid.Rainfall is regular, every month of the year.There is no dry season.The average temperature of the coldest month is below -38 ° C.
22,Dsa,Climat continental froid à été sec et chaud.,Cold continental climate to hot and dry summer.,La température moyenne du mois le plus froid est inférieure à 0 °C.La température moyenne du mois le plus chaud est supérieure à 10 °C.Les saisons été et hiver sont bien définies.La saison sèche est en été.Les précipitations du mois estival le plus sec sont inférieures à 40 mm et inférieur à 1/3 du mois hivernal le plus humide.La température moyenne du mois le plus chaud est supérieure à 22 °C.,The average temperature of the coldest month is below 0 ° C.The average temperature of the hottest month is above 10 ° C.The summer and winter seasons are well defined.The dry season is in summer.The precipitation of the driest summer month is less than 40 mm and less than 1/3 of the wettest winter month.The average temperature of the hottest month is above 22 ° C.
23,Dsb,Climat continental froid à été sec et tempéré.,Cold continental climate to dry and temperate summer.,La température moyenne du mois le plus froid est inférieure à 0 °C.Température moyenne du mois le plus chaud est supérieure à 10 °C.Les saisons été et hiver sont bien définies.La saison sèche est en été.Les précipitations du mois estival le plus sec sont inférieures à 40 mm et inférieur à 1/3 du mois hivernal le plus humide.La température moyenne du mois le plus chaud est inférieure ou égale à 22 °C.Les températures moyennes des 4 mois les plus chauds sont supérieures à 10 °C.,The average temperature of the coldest month is below 0 ° C.Average temperature of the hottest month is above 10 ° C.The summer and winter seasons are well defined.The dry season is in summer.The precipitation of the driest summer month is less than 40 mm and less than 1/3 of the wettest winter month.The average temperature of the hottest month is 22 ° C or less.The average temperatures of the 4 hottest months are above 10 ° C.
24,Dsc,Climat continental froid à été sec, court et frais,Cold continental climate to dry, short and cool summer,La température moyenne du mois le plus froid est inférieure à 0 °C.Température moyenne du mois le plus chaud est supérieure à 10 °C.Les saisons été et hiver sont bien définies.La saison sèche est en été.Les précipitations du mois estival le plus sec sont inférieures à 40 mm et inférieures à 1/3 du mois hivernal le plus humide.La température moyenne du mois le plus chaud est inférieure à 22 °C.Les températures moyennes mensuelles sont supérieures à 10 °C pour moins de 4 mois.La température moyenne du mois le plus froid est supérieure à -38 °C.,The average temperature of the coldest month is below 0 ° C.Average temperature of the hottest month is above 10 ° C.The summer and winter seasons are well defined.The dry season is in summer.Rainfall in the driest summer month is less than 40 mm and less than 1/3 of the wettest winter month.The average temperature of the hottest month is below 22 ° C.Average monthly temperatures are above 10 ° C for less than 4 months.The average temperature of the coldest month is above -38 ° C.
25,Dsd,Climat continental froid à été sec et hiver très froid.,Cold continental climate with dry summer and very cold winter.,La température moyenne du mois le plus froid est inférieure à 0 °C.La température moyenne du mois le plus chaud est supérieure à 10 °C.Les saisons été et hiver sont bien définies.La saison sèche est en été.Les précipitations du mois estival le plus sec sont inférieures à 40 mm et inférieur à 1/3 du mois hivernal le plus humide.La température moyenne du mois le plus froid est inférieure à -38 °C.,The average temperature of the coldest month is below 0 ° C.The average temperature of the hottest month is above 10 ° C.The summer and winter seasons are well defined.The dry season is in summer.The precipitation of the driest summer month is less than 40 mm and less than 1/3 of the wettest winter month.The average temperature of the coldest month is below -38 ° C.
26,Dwa,Climat continental froid à hiver sec.,Cold continental climate to dry winter.,La température moyenne du mois le plus froid est inférieure à 0 °C.La température moyenne du mois le plus chaud est supérieure à 10 °C.Les saisons été et hiver sont bien définies.La saison sèche est en hiver.Les précipitations du mois hivernal le plus sec sont inférieures à 1/10 du mois le plus humide.La température moyenne du mois le plus chaud est supérieure à 22 °C.,The average temperature of the coldest month is below 0 ° C.The average temperature of the hottest month is above 10 ° C.The summer and winter seasons are well defined.The dry season is in winter.Precipitation in the driest winter month is less than 1/10 of the wettest month.The average temperature of the hottest month is above 22 ° C. 
27,Dwb,Climat continental froid à hiver sec et été chaud.,Cold continental climate to dry winter and hot summer.,La température moyenne du mois le plus froid est inférieure à 0 °C.La température moyenne du mois le plus chaud est supérieure à 10 °C.Les saisons été et hiver sont bien définies.La saison sèche est en hiver.Les précipitations du mois hivernal le plus sec sont inférieures à 1/10 du mois le plus humide.La température moyenne du mois le plus chaud est inférieure ou égale à 22 °C.Les températures moyennes des 4 mois les plus chauds sont supérieures à 10 °C.,The average temperature of the coldest month is below 0 ° C.The average temperature of the hottest month is above 10 ° C.The summer and winter seasons are well defined.The dry season is in winter.Precipitation in the driest winter month is less than 1/10 of the wettest month.The average temperature of the hottest month is 22 ° C or less.The average temperatures of the 4 hottest months are above 10 ° C.
28,Dwc,Climat continental froid à hiver sec et été tempéré,Cold continental climate with dry winters and temperate summer,La température moyenne du mois le plus froid est inférieure à 0 °C.La température moyenne du mois le plus chaud est supérieure à 10 °C.Les saisons été et hiver sont bien définies.La saison sèche est en hiver.Les précipitations du mois hivernal le plus sec sont inférieures à 1/10 du mois le plus humide.La température moyenne du mois le plus chaud est inférieure à 22 °C.Les températures moyennes mensuelles sont supérieures à 10 °C pour moins de 4 mois.,The average temperature of the coldest month is below 0 ° C.The average temperature of the hottest month is above 10 ° C.The summer and winter seasons are well defined.The dry season is in winter.Precipitation in the driest winter month is less than 1/10 of the wettest month.The average temperature of the hottest month is below 22 ° C.Average monthly temperatures are above 10 ° C for less than 4 months.
29,Dwd,Climat continental froid à hiver sec et très froid.,Cold continental climate to dry and very cold winter.,La température moyenne du mois le plus froid est inférieure à 0 °C.La température moyenne du mois le plus chaud est supérieure à 10 °C.Les saisons été et hiver sont bien définies.La saison sèche est en hiver.Les précipitations du mois hivernal le plus sec sont inférieures à 1/10 du mois le plus humide.La température moyenne du mois le plus froid est inférieure à -38 °C.,The average temperature of the coldest month is below 0 ° C.The average temperature of the hottest month is above 10 ° C.The summer and winter seasons are well defined.The dry season is in winter.Precipitation in the driest winter month is less than 1/10 of the wettest month.The average temperature of the coldest month is below -38 ° C.
30,EF,Climat polaire d'inlandsis,Ice cap climate,La saison d'été est très peu marquée.La température moyenne du mois le plus chaud est inférieure à 0 °C.,The summer season is very light.The average temperature of the hottest month is below 0 ° C.
31,ET,Climat polaire de toundra,Tundra climate,La saison d'été est très peu marquée.La température moyenne du mois le plus chaud est comprise entre 0 °C et 10 °C.,The summer season is very light.The average temperature of the hottest month is between 0 ° C and 10 ° C.
